Start, End, Origin, Origin Hub, Destination Hub, Destination, Load MT, First Mile KM, Mid Mile KM, Last Mile KM, Total Distance (KM), TTW (KG), WTT (KG), Trans-Shipment (KG), Total CO2e (KG)  
1-Apr-24,30-Apr-24,140417,140417,134003,173205,4.82,0,24.044,95.311,119.355,110.20658152,16.49335074,5.784,132.48393226
1-Apr-24,30-Apr-24,140417,140417,134003,756001,0.84,0,24.044,1808.432,1832.476,341.5469736,30.21577104,1.008,372.77074464
1-Apr-24,30-Apr-24,140417,140417,562111,560067,28.81,0,2371.16,102.913,2474.073,4967.86940552,4633.31256027,34.572,9635.75396579
1-Apr-24,30-Apr-24,140417,140417,134003,421302,8.39,0,24.044,1547.317,1571.361,2920.6746142,260.17365669,10.068,3190.91627089
1-Apr-24,30-Apr-24,140417,140417,134003,462001,10.84,0,24.044,974.275,998.319,2382.11571248,218.12435532,13.008,2613.2480678
1-Apr-24,30-Apr-24,140417,140417,134003,751003,4.38,0,24.044,1970.082,1994.126,1939.5215532,171.00617628,5.256,2115.78372948
1-Apr-24,30-Apr-24,140417,140417,134003,712136,0.07,0,24.044,1735.202,1759.246,27.3140014,2.42058502,0.084,29.81858642
1-Apr-24,30-Apr-24,140417,140417,134003,600067,8.49,0,24.044,2380.446,2404.49,4539.89739924,397.66669278,10.188,4947.75209202
1-Apr-24,30-Apr-24,140417,140417,134003,753014,0.96,0,24.044,1905.808,1929.852,411.27913344,36.308448,1.152,448.73958144
Error,,,,,,,,,,,,,,
1-Apr-24,30-Apr-24,140417,140417,134003,110017,1.54,0,24.044,230.937,254.981,81.9967764,9.23807654,1.848,93.08285294
1-Apr-24,30-Apr-24,140417,140417,134003,683511,3.62,0,24.044,2819.796,2843.84,2291.99965512,199.77720064,4.344,2496.12085576
1-Apr-24,30-Apr-24,140417,140417,134003,781005,0.09,0,24.044,2106.64,2130.684,42.60619188,3.74733972,0.108,46.4615316
1-Apr-24,30-Apr-24,140417,140417,134003,711303,13.7,0,24.044,1789.562,1813.606,5512.560242,487.8929762,16.44,6016.8932182
1-Apr-24,30-Apr-24,140417,140417,134003,500078,6.08,0,24.044,1762.318,1786.362,2409.34594432,213.3775392,7.296,2630.01948352
1-Apr-24,30-Apr-24,140417,140417,134003,452010,23.89,0,24.044,1043.568,1067.612,5620.69595556,512.1714986,28.668,6161.53545416
1-Apr-24,30-Apr-24,140417,140417,134003,302015,7.58,0,24.044,419.986,444.03,724.58460088,72.69736956,9.096,806.37797044
1-Apr-24,30-Apr-24,140417,140417,134003,180010,6.3,0,24.044,397.254,421.298,570.1479084,57.7002762,7.56,635.4081846
1-Apr-24,30-Apr-24,140417,140417,134003,380009,3.23,0,24.044,1071.752,1095.796,780.3267206,70.97678228,3.876,855.17950288
1-Apr-24,30-Apr-24,140417,140417,134003,700017,0.16,0,24.044,1771.653,1795.697,63.73840704,5.6435768,0.192,69.57398384
1-Apr-24,30-Apr-24,140417,140417,134003,136118,15.36,0,24.044,38.158,62.202,154.55483904,35.880192,18.432,208.86703104
1-Apr-24,30-Apr-24,140417,140417,134003,226004,41.25,0,24.044,732.696,756.74,6832.595385,640.702095,49.5,7522.79748
1-Apr-24,30-Apr-24,140417,140417,134003,141001,14.79,0,24.044,124.185,148.229,433.82341548,58.72314777,17.748,510.29456325
1-Apr-24,30-Apr-24,140417,140417,134003,250001,23.01,0,24.044,206.065,230.109,1096.96336932,127.15747083,27.612,1251.73284015
1-Apr-24,30-Apr-24,140417,140417,134003,400057,4.48,0,24.044,1573.506,1597.55,1585.83091968,141.15387776,5.376,1732.36079744
1-Apr-24,30-Apr-24,140417,140417,134003,440019,5.22,0,24.044,1296.145,1320.189,1523.46353544,136.96080966,6.264,1666.6883451
1-Apr-24,30-Apr-24,140417,140417,134003,524004,0.28,0,24.044,2229.189,2253.233,140.23887024,12.31035092,0.336,152.88522116
1-Apr-24,30-Apr-24,140417,140417,134003,110085,20.85,0,24.044,205.367,229.411,990.729033,114.94440285,25.02,1130.69343585
1-Apr-24,30-Apr-24,140417,140417,134003,800020,0.28,0,24.044,1250.734,1274.778,78.87017264,7.10497032,0.336,86.31114296
1-Apr-24,30-Apr-24,140417,140417,134003,411005,1.32,0,24.044,1650.302,1674.346,489.9607944,43.51602552,1.584,535.06081992
1-Apr-24,30-Apr-24,140417,140417,134003,492004,12.32,0,24.044,1432.161,1456.205,3970.96805952,355.08712624,14.784,4340.83918576
1-Apr-24,30-Apr-24,140417,140417,134003,533101,0.44,0,24.044,1981.338,2005.382,195.94717296,17.2728028,0.528,213.74797576
1-Apr-24,30-Apr-24,140417,140417,134003,360001,0.59,0,24.044,1289.697,1313.741,171.340071,15.40796269,0.708,187.45603369
1-Apr-24,30-Apr-24,140417,140417,134003,834001,0.39,0,24.044,1498.046,1522.09,131.46005964,11.72879058,0.468,143.65685022
1-Apr-24,30-Apr-24,140417,140417,134003,395009,0.63,0,24.044,1321.437,1345.481,187.4354958,16.83249813,0.756,205.02399393
1-Apr-24,30-Apr-24,140417,140417,134003,517501,0.25,0,24.044,2347.277,2371.321,131.826205,11.55230275,0.3,143.67850775
1-Apr-24,30-Apr-24,140417,140417,134003,221010,11.05,0,24.044,1064.128,1088.172,2650.6678562,241.214649,13.26,2905.1425052
1-Apr-24,30-Apr-24,140417,140417,134003,520004,5.2,0,24.044,1962.203,1986.247,2293.4508688,202.242586,6.24,2501.9334548
1-Apr-24,30-Apr-24,395009,395009,562111,560067,0.16,0,1267.208,102.913,1370.121,16.46185856,13.89732528,0.192,30.55118384
1-Apr-24,30-Apr-24,421302,421302,400072,380009,6.93,0,45.708,522.579,568.287,831.165489,90.03065841,8.316,929.51214741
1-Apr-24,30-Apr-24,421302,421302,400072,444606,5.62,0,45.708,635.725,681.433,816.48486248,85.09360582,6.744,908.3224683
1-Apr-24,30-Apr-24,421302,421302,400072,431003,6.08,0,45.708,337.165,382.873,476.69974912,57.56891168,7.296,541.5646608
1-Apr-24,30-Apr-24,421302,421302,400072,421302,15.6,0,45.708,41.883,87.591,191.2777776,60.1881228,18.72,270.1859004
1-Apr-24,30-Apr-24,421302,421302,400072,403002,0.15,0,45.708,554.315,600.023,19.0569246,2.03916315,0.18,21.27608775
1-Apr-24,30-Apr-24,421302,421302,400072,362001,2.09,0,45.708,792.643,838.351,377.10211924,37.87634477,2.508,417.48646401
1-Apr-24,30-Apr-24,421302,421302,400072,380009,0.48,0,45.708,522.579,568.287,57.569904,6.23588976,0.576,64.38179376
1-Apr-24,30-Apr-24,421302,421302,400072,533101,5.42,0,45.708,1151.278,1196.986,1413.35104792,135.15701156,6.504,1555.01205948
1-Apr-24,30-Apr-24,421302,421302,400072,400057,81.59,0,45.708,6.625,52.333,356.02645036,260.13429449,97.908,714.06874485
1-Apr-24,30-Apr-24,421302,421302,400072,440019,7.32,0,45.708,763.58,809.288,1273.10555568,128.61573792,8.784,1410.5052936
1-Apr-24,30-Apr-24,421302,421302,400072,422001,9.17,0,45.708,167.818,213.526,371.11756612,57.32146826,11.004,439.44303438
1-Apr-24,30-Apr-24,421302,421302,400072,411005,65.31,0,45.708,149.36,195.068,2373.12009564,385.34702556,78.372,2836.8391212
1-Apr-24,30-Apr-24,421302,421302,400072,360001,15.39,0,45.708,691.082,736.79,2426.72554908,249.21017766,18.468,2694.40372674
1-Apr-24,30-Apr-24,421302,421302,400072,413003,3.97,0,45.708,402.962,448.67,369.77807524,42.55329458,4.764,417.09536982
1-Apr-24,30-Apr-24,421302,421302,400072,395009,6.93,0,45.708,282.472,328.18,458.44259076,58.41576972,8.316,525.17436048
1-Apr-24,30-Apr-24,421302,421302,400072,390007,3.17,0,45.708,416.558,462.266,304.91784932,34.79721046,3.804,343.51905978
1-Apr-24,30-Apr-24,380009,380009,562111,560067,0.64,0,1502.813,102.913,1605.726,75.34702784,65.69204352,0.768,141.80707136
1-Apr-24,30-Apr-24,173205,173205,134003,226004,0.04,0,94.171,732.696,826.867,6.80226708,0.80922724,0.048,7.65949432
1-Apr-24,30-Apr-24,562123,562123,562111,380009,0.01,0,25.989,1448.697,1474.686,3.26145435,0.29266506,0.012,3.56611941
1-Apr-24,30-Apr-24,562123,562123,562111,173205,0.13,0,25.989,2383.111,2409.1,69.60904223,6.11264836,0.156,75.87769059
1-Apr-24,30-Apr-24,562123,562123,562111,560067,88.22,0,25.989,102.913,128.902,2178.13583218,326.1149342,105.864,2610.11476638
